Year,Month,resid_sales,resid_count,resid_np,comm_sales,comm_count,comm_np,CPI,County,Population,resid_pc,comm_pc,resid_rp,comm_rp
2005,7,2109924.0,,6.58,2282732.0,,6.26,195.4,State,6256400,0.33724250367623554,0.3648634997762291,3.3674513817809624,3.2036847492323437
2005,8,2167380.0,,6.61,2426578.0,,6.22,196.4,State,6256400,0.34642605971485196,0.387855316156256,3.365580448065173,3.167006109979633
2005,9,2021195.0,,6.59,2296090.0,,6.29,198.8,State,6256400,0.3230603861645675,0.3669985934403171,3.3148893360160963,3.1639839034205233
2005,10,2247511.0,,6.58,2281629.0,,6.33,199.2,State,6256400,0.35923390448181064,0.36468720030688573,3.3032128514056227,3.1777108433734944
2005,11,2771369.0,,6.59,2397775.0,,6.3,197.6,State,6256400,0.44296544338597277,0.38325155041237774,3.3350202429149793,3.188259109311741
2005,12,3773490.0,,6.68,2550019.0,,6.52,196.8,State,6256400,0.6031407838373506,0.40758567227159387,3.39430894308943,3.3130081300813004
2006,1,3861665.0,,5.74,2533610.0,,6.54,198.3,State,6375600,0.605694366020453,0.39739161804379197,2.8946041351487644,3.2980332829046897
2006,2,3518413.0,,6.73,2461449.0,,6.59,198.7,State,6375600,0.5518559821820691,0.3860733107472238,3.38701560140916,3.3165576245596378
2006,3,3641398.0,,6.75,2475154.0,,6.64,199.8,State,6375600,0.5711459313633227,0.38822291235334716,3.378378378378378,3.323323323323323
2006,4,2878702.0,,6.77,2229476.0,,6.58,201.5,State,6375600,0.4515186021707761,0.3496888136018571,3.359801488833747,3.2655086848635237
2006,5,2495268.0,,6.86,2217952.0,,6.41,202.5,State,6375600,0.3913777526821005,0.34788129744651486,3.387654320987654,3.165432098765432
2006,6,2329016.0,,6.91,2358159.0,,6.46,202.9,State,6375600,0.36530146182320095,0.3698724825898739,3.405618531296205,3.1838344011828488
2006,7,2361483.0,,6.98,2450442.0,,6.46,203.5,State,6375600,0.3703938452851496,0.3843468849990589,3.42997542997543,3.1744471744471743
2006,8,2370208.0,,7.07,2426779.0,,6.6,203.9,State,6375600,0.37176234393625696,0.38063539117886946,3.46738597351643,3.2368808239333005
2006,9,2145950.0,,7.11,2348113.0,,6.65,202.9,State,6375600,0.33658792897923334,0.3682967877533095,3.50418925579103,3.2774765894529323
2006,10,2332033.0,,7.13,2233931.0,,6.89,201.8,State,6375600,0.36577467218771564,0.35038757136583226,3.5332011892963324,3.4142715559960353
2006,11,2828491.0,,7.21,2285078.0,,6.87,201.5,State,6375600,0.4436431080996298,0.3584098751490056,3.578163771712159,3.4094292803970223
2006,12,3675939.0,,7.18,2560105.0,,6.91,201.8,State,6375600,0.5765636175418785,0.40154730535165317,3.5579781962338948,3.42418235877106
2007,1,4306137.0,2158486.0,7.02,2624609.0,255763.0,6.67,202.416,State,6488000,0.6637079223181258,0.40453282983970407,3.4681052881195162,3.295194055805865
